Record ID,First author,Setting of data collection,Setting,Number of individuals that were asymptomatic throughout infection,Total number of individuals (denominator),Source
4,"Bai, Y",Contact tracing,1. Contact investigation,1,6,PubMed
11,"Chan, JF",Contact tracing,1. Contact investigation,1,5,PubMed
23,"Hu, Z",Contact tracing,1. Contact investigation,1,4,PubMed
36,"Liao, J",Contact tracing,1. Contact investigation,1,5,MedRxiv
42,"Luo, SH",Contact tracing,1. Contact investigation,1,4,PubMed
54,"Qian, G",Contact tracing,1. Contact investigation,2,8,PubMed
64,"Tabata, S",Traveler/evacuee from an affected area,5. Hospitalised adults,33,104,MedRxiv
91,"Tong, ZD",Family cluster,1. Contact investigation,1,2,PubMed
122,"Luo, L",Contact tracing,"2. Contact investigation, aggregated",8,129,MedRxiv
141,"Qiu, H",Hospital,6. Hospitalised children,10,36,PubMed
142,"Zhang, J",Family cluster,1. Contact investigation,2,5,PubMed
152,"Yang, N",Other,3. Outbreak investigation,2,10,MedRxiv
170,"Chang, L",Other,4. Screening,2,4,PubMed
180,"Ye, F",Hospital,1. Contact investigation,1,5,PubMed
187,"Wang, X",Hospital,5. Hospitalised adults,14,1012,PubMed
204,"Pongpirul, WA",Hospital,5. Hospitalised adults,1,11,PubMed
224,"Arima, Y",Traveler/evacuee from an affected area,4. Screening,4,12,PubMed
233,"Zhou, X",Hospital,5. Hospitalised adults,10,328,EMBASE
242,"Danis, K",Contact tracing,3. Outbreak investigation,1,13,PubMed
249,"Wang, Z",Contact tracing,"2. Contact investigation, aggregated",4,47,PubMed
265,"Tian, S",Other,3. Outbreak investigation,7,24,MedRxiv
275,"Tan, YP",Hospital,6. Hospitalised children,2,10,EMBASE
294,"Lavezzo, E",Other,4. Screening,29,73,MedRxiv
299,"See, KC",Other,6. Hospitalised children,1,4,PubMed
316,"Zou, L",Other,5. Hospitalised adults,1,18,PubMed
317,"Hoehl, S",Other,4. Screening,1,2,PubMed
328,"Yongchen, Z",Hospital,7. Hospitalised children and adults,5,21,PubMed
334,"Tan, X",Hospital,6. Hospitalised children,2,13,PubMed
344,"Jiang, XL",Family cluster,1. Contact investigation,1,4,PubMed
354,"Park, SY",Contact tracing,3. Outbreak investigation,4,97,PubMed
372,"Jiang, X",Other,1. Contact investigation,1,3,PubMed
374,"Luo, Y",Family cluster,1. Contact investigation,5,6,PubMed
376,"Arons, MM",Other,3. Outbreak investigation,3,47,PubMed
382,"Xu, H",Hospital,6. Hospitalised children,11,32,MedRxiv
389,"Zhang, B",Hospital,1. Contact investigation,2,7,PubMed
396,"Schwierzeck, V",Contact tracing,3. Outbreak investigation,2,12,PubMed
414,"Gao, Y",Contact tracing,1. Contact investigation,6,15,PubMed
434,"Xu, T",Hospital,5. Hospitalised adults,15,342,PubMed
443,"Bi, Q",Contact tracing,"2. Contact investigation, aggregated",17,87,PubMed
449,"Huang, L",Family cluster,1. Contact investigation,2,7,EMBASE
