"id","author","collection","code","fit_cluster","setting","cases","total","proportion","source"
11,"Chan, JF","Contact tracing","1",1,"contact investigation",1,5,0.2,"PubMed"
36,"Liao, J","Contact tracing","1",1,"contact investigation",1,5,0.2,"MedRxiv"
42,"Luo, SH","Contact tracing","1",1,"contact investigation",1,4,0.25,"PubMed"
91,"Tong, ZD","Family cluster","1",1,"contact investigation",1,2,0.5,"PubMed"
389,"Zhang, B","Hospital","1",1,"contact investigation",2,7,0.28571,"PubMed"
449,"Huang, L","Family cluster","1",1,"contact investigation",2,7,0.28571,"EMBASE"
443,"Bi, Q","Contact tracing","2",1,"contact investigation, aggregated",17,87,0.1954,"PubMed"
477,"Cheng, HY","Contact tracing","2",1,"contact investigation, aggregated",4,22,0.18182,"PubMed"
599,"Hijnen, D","Contact tracing","2",1,"contact investigation, aggregated",1,11,0.09091,"PubMed"
265,"Tian, S","Other","3",1,"outbreak investigation",7,24,0.29167,"MedRxiv"
396,"Schwierzeck, V","Contact tracing","3",1,"outbreak investigation",2,12,0.16667,"PubMed"
763,"Roxby, AC","Other","3",1,"outbreak investigation",3,6,0.5,"PubMed"
170,"Chang, L","Other","4",1,"screening",2,4,0.5,"PubMed"
317,"Hoehl, S","Other","4",1,"screening",1,2,0.5,"PubMed"
593,"Lombardi, A","Hospital","4",1,"screening",41,138,0.2971,"MedRxiv"
598,"Rivett, L","Hospital","4",1,"screening",5,30,0.16667,"PubMed"
622,"Treibel, TA","Hospital","4",1,"screening",12,44,0.27273,"PubMed"
64,"Tabata, S","Traveler/evacuee from an affected area","5",1,"hospitalised adults",33,104,0.31731,"MedRxiv"
729,"London, V","Hospital","5",1,"hospitalised adults",22,68,0.32353,"PubMed"
761,"Zhou, R","Hospital","5",1,"hospitalised adults",9,31,0.29032,"PubMed"
797,"Noh, JY","Hospital","5",1,"hospitalised adults",53,199,0.26633,"PubMed"
832,"Andrikopoulou, M","Hospital","5",1,"hospitalised adults",46,158,0.29114,"PubMed"
141,"Qiu, H","Hospital","6",1,"hospitalised children",10,36,0.27778,"PubMed"
275,"Tan, YP","Hospital","6",1,"hospitalised children",2,10,0.2,"EMBASE"
334,"Tan, X","Hospital","6",1,"hospitalised children",2,13,0.15385,"PubMed"
556,"Lu, Y","Hospital","6",1,"hospitalised children",29,110,0.26364,"PubMed"
653,"Bai, K","Hospital","6",1,"hospitalised children",8,25,0.32,"PubMed"
769,"Melgosa, M","Hospital","6",1,"hospitalised children",3,16,0.1875,"PubMed"
843,"Wu, HP","Hospital","6",1,"hospitalised children",3,23,0.13043,"EMBASE"
585,"Ma, Y","Hospital","7",1,"hospitalised children and adults",11,47,0.23404,"PubMed"
637,"Merza, MA","Hospital","7",1,"hospitalised children and adults",6,15,0.4,"EMBASE"
745,"Zhang, W3","Hospital","7",1,"hospitalised children and adults",26,137,0.18978,"MedRxiv"
778,"Wang, Y2","","7",1,"hospitalised children and adults",63,279,0.22581,"PubMed"
